абазия | abasia, ае / | abaziya
Пискачека признак | Piskaceki symptoma | Piskacekin alamaty; gowreli yatgyn burmasy
писчий спазм, писчая | graphospasnius, i m | grafospazm; yazuw spazmy, tutgayy
питание | alimentatio,ош'л f ; nutritio, onis f | iymit; iymitlenme
- лечебное | diaetotherapia, ae f | dietoterapiya; iymit berhizi
- недостаточное, или плохое; отсутствие питания | denutritio, onis f | yeterlik dal iymitlenme, yaramaz iymitlenme; iymitin bolmazlygy
- расстройство | denutritio, onis f | iymitlenmanin bozulmagy
- ректальное | alimentatio rectatis | rektal iymitlendirme
питательная клизма | alimentatio, rectalis | iymitlendiri^ klizmasy
- среда (для бактерий) | medium, ii n | bakteriyalar u^in iymitlendiri§ sreda
питательный | nutricus, a, um (nut-ritius, a, um) | iymit.., iymitlendiri§
питающий | nutriens, ntis; trophicus, a, um | iymitlendiriji
питириазис | pityriasis, Й / | pitiriazis
пиурия | pyuria, ae f | piuriya
пища | alimentum, / n; cihus, i in; nutrimentum,{ n | iymit
отказ болезненный от | sitieirgia, ae f | kesel zerarly iymitden yuz owurmek
-, - душевнобольных от | sit(i)opholia, ae f | psihiki kesel zerarly iymitden yuz owurmek
-, прием | ingestio ,onis; cena ae f | iymitlenmek; iymit iymek
-, -, или введение | nutritio, onis f | iymitlendirmek
пищеварение | digestio, onis f | iymit sindiri§; 6zle§diri§; bi§iri§
-, нарушение | dyspepsia^? f ; indigestio, onis | iymit sindiri§in bozulmagy
пищеварительный | digestivus//, um; pepticus, a, | iymit sindiri^
- тракт | tructus digestorius | iymit sindiri§ trakty; yollary
пищевая, или алиментарная инфекция | infectio alimentaria | iymit ya-da alimentar infeksiyasy
пищевод | oesophagus, i m; tractus digestorius | gyzylodek
пищеводный | oesophageus, a, um | gyzylodek . . . gyzylodege degi^li
пищевой | alimentarius, a, um | iymit . . .
пищевые подукты | alimentum (pi. alimentaria) | iymit oniimleri; azyk ontimleri
пиявка | Hirudo, inis f | suliik
- лечебная, или медицинская | Hirudo medicinalis | bejeri§ ya-da medisina suliigi
плагиоцефалия | plagiocephalia, ае / | plagiosefaliya
плазма | plasma, atis п | plazma; ganyn suwuk bolegi
- крови, кровяная плазма | plasma, atis п; plasma sanguinis | gan plazmasy
плазмодий | plasmodium, ii n | plazmodiy
плазмоцит,плазматическая клетка | plasmocytus, i m | plazmosit; plazmatik oyjfik
плазмоцитома | myeloma, atis n | miyeloma
Пламмера-Винсона синдром | Plummer-Vinson'syndromum | Plammer-Winsonyn sindromy
планиграфия | tomographia, ae f | tomografiya
плантарный | plantaris, e | plantar; ayagasty
пласт | stratum, i n | gatlak
- тонкий | lamina, a e f | yuka gatlak
пластинка, пластиночка | lamella, ae f ; lamina, ae f ; scutulum, / n; tabula, ae f | yukajyk gatlak
пластинки кровяные | thrombocyti m/pl | trombositler
пластинчатый | lamellatus, a, um (lamellosus, a, um) | gatlakpisint
пластическая операция; пластика | plastica, ae f | plastiki operasiya
пластырь | emplastrum, i n | plastyr
пластырь липкий | emplastrum adhaesivum | yelme§yan plastyr
платизма | platysma, atis n | platizma
платицефалия | platycephlia, ae f | platisefaliya
Плаут-Винцента ангина | Plaut-Vincent'angina | Plaut-Winsentin anginasy
плацебо | placebo | plasebo; "y a la n " derman
плацента | placenta, a e f | plasenta; ^aga yoIda§y
- добавочная | placenta succenturiuta | go^ma^a plasenta
отдельная часть | cotyledo, onis f | plasentanyn ayry bolegi
предлежание | placenta praevia | plasentanyn onde yerle§megi
приращение | placenta accreta | plasentanyn biti§megi; plasentanyn go§ulyp osmegi
плащ головного мозга | pallium, ii n | kelle beynisinin ^adyry
плева | membrana, ae f ; tunica, ae f | barda; perde
- девственная | hymen, enis m | gyzlyk perdesi
- крыловидная | pterygium, ii n | ganat gornu§li perde
- надхрящевая | perichondrium, ii | kekirdewuk usti, kekirdewuk da§y perde
плевра | pleura, ae f | plewra
- диафрагмальная | pleura diaphragmatica | diafragmal plewra
- легочная | pleura pulmonalis sive visceralis | oyken plewrasy ya-da wisseral plewra
- пристеночная или париетальная | pleura parietalis | pariyetal plewra
- реберная | pleura costalis | gapyrga plewrasy
- сращения | adhaesiones pleurae | plewra gatlagynyn biti^megi
плевральный | pleuralis, e | plewral
плеврит | pleuritis, tidis f | plewrit
- выпотной, или экссудативный | pleuritis exsudativa | ekssudatiw plewrit
- гнойный | empyema pleurae | irinli plewrit ya-da plewranyn empiyemasy
- диафрагмальный | pleuritis diaphragmatica | diafragmal plewrit
- междолевой | pleuritis interlobaris | bolegara plewrit
- сухой, или фибринозный | pleuritis sicca sive fibrinosa | gury ya-da fibrinoz plewrit
плевритный | pleuriticus, a, um | plewrit. . .
плевродиния | pleurodynia, ae f | plewrodinia
- эпидемическая | pleurodynia epidemica | epidemiki plewrodiniya
плевролиз | pleurolysis, is f | plewroliz
плевроперикардит | pleuropericarditis, tidis f | plewroperikardit
плевропневмония | pleuropneumonia, ae f | plewropnewmoniya
плевротомия | pleurotomia, ae f | plewrotomiya
плексит | plexitis, tidis f | pleksit
пленка | membrana, ae f | barda; membrana
- ложная | pseudomembrana, ae f | psewdomembrana; yalan barda
- тонкая | pellicula, ae f | yuka barda
плеоморфизм | pleomorphismus, / m | pleomorfizm
плеоцитоз | pleocytosis, is f | pleositoz
плесневой грибок | Penicillum, ii n | penisillin; hen komelejigi
плетизмография | plethysmographia, ae f | pletizmografiya
плетора | plethora, ae f | pletora
плечевая кость | humerus, i m | egin; yigin sunki
плечевое сплетение | plexus brachialis | egin; cigin dessesi; ?yrma§ygy
плечевой | brachialis, e; humeralis, e | egin..., yigin . . . yigine; egine degi§li
- отросток | acromion, ii n | yigin sunkunin osuntgisi
- пояс | cingulum membri su- peri, oris | yigin gu§aklygy
плече-лопаточный | periarthritis humero- | egin-pilye periartriti
периартрит | scapularis | 
плечо | brachium, ii n | egin; yigin; gerden
плешивость | alopecia/»? f ; calvities, ei / ; psilosis, is f | alopesiya; sac dii.^me; kel
- вызывающий | decalvans, ntis | kcl dorediji
плешивый | glaber, bra, brum | kel; sakar
плод | fructus, us m | duwiinyek; yaga duwunyegi
- окаменелый | lithopacdion, ii n | da$a owrulen yaga duwunyegi
- стручковый, плод бобовых | legumen, inis n | noyba gorni'fjli duwiinyek
- (утробный) | fetus, us in | gowredaki yaga duwunyegi
плодные воды | liquor amnii | amnion suwuklygy
плодный | fetalis, e | diiwunyek . . .
- мешок | saccus aninioticus | yaga diiwunceginin haltasv
плодогонные средства | abortive (remedia) n/pl | yagany, duwunyegi dii$iiryan seri§deler
плоская стопа, плоскостопие | pes planus | yasy daban; yasy dahanlyk
плоский | planus, a, um | yasy
плоскость | planum, i it | ust; tekizlik; tekiz; yasylyk
плотный | compactus/r, um; densus/z, um. durus/z, um; solidus/;, um | dykyz; gaty
плоть крайняя | praeputium, ii n | piiryuk; ujydyn ujuny yapyan piiryiik
площица | Phthirius inguinalis | gasyk biti
плюригландулярный | pluriglandularis, e | plyuriglandulyar
плюсна | metatarsus, i i / i | daraklyk
плюсневой | metatarsalis, e | daraklyga degi§li
пневматический | pneumaticus, a, um | pnewmatik; howa usti bilen
пневматоз | pneumatosis, is f | pnewmatoz
пневматотерапия | pneumatotherapia, ae f | pnewmatoterapiya
пневмококк | Pneumococcus, i in | pnewmokokk
пневмокониоз | pneumoconiosis, is f | pnewmokonioz
пневмолйз | pneumolysis, is f | pnewmoliz
пневмолит | pneumolithus, i m | pnewmolit
пневмонит | pneumonitis, tidis f | pnewmonit
пневмония | pneumonia, ae f | pnewmoniya
- белая | pneumonia alba | ak pnewmoniya
- вирусная атипичная. или первичная атипичная | pneumonia atypica priniaria | wirusly pnewmoniya ya-da atipiki, ilkinji wirusly pnewmoniya
- гипостатическая | pneumonia hypostatica | gipostatiki pnewmoniya
интерстициальная (межуточная) | pneumonia interstitialis | interstisial, alweolyarara pnewmoniya
- крупозная или доле­ | pneumonia cruposa; | krupoz ya-da fibrinoz
вая фибринозная | pneumonia, ae f | pnewmoniya
- массивная | pneumonia inassiva | massiw pnewmoniya
- мигрирующая | pneumonia migrans | yerini uytgedyan pnewmoniya
- очаговая или ката­ | bronchopneumo­ | ojaklayyn ya-da kataral
ральная | nia, ae f | pnewmoniya
- центральная | pneumonia centralis | merkezi pnewmoniya
пневмонэктомия | pneumonectomia, ae f | pnewmonektomiya
пневмоперикард | pneumopericardium, ii n | pnewmoperikard
пневмоперитонеум | pneumoperitoneum./ n | pnewmoperitoneum
пневмориккетсноз Q | febris Q | Q pnewmorikketsiozy
пневмотомия | pneuinatomia, ae f | pnewmotomiya
пневмоторакс | pneumothorax, acis in | pnewmotoraks
- искусственный | pneumothorax artificials | emeli pnewmotoraks
- с кровоизлянием | liacmopneiimothorax, acis in | gemopnewmotoraks
пневмоторакс спонтанный | pneumothorax spontaneus | spontan; oz-oziinden doran pnewmotoraks
по естественным путям | per vias naturales | tebigy yollar boyunya
- мере требования | ex tempore | talap cdilifyine giira
побочное явление | effectus secundarius | go^niaya tasir
побочный | indirectus, a, um; secundarius, a, и in | go^ma^a
побудитель | stimulus, i in | stimul: howes dorediji
побуждающий | stiinulans, ntis | howes doredi ji
побуждение | impulsus, us in; stimulatio, onis f ; stimulus, i in | howes; meyil; isleg; arzuw; niyet; doretme
повальный | epidemicus, я, tan | epidemiki; u^dantutma; kopViilikleyin
повернутый внутрь | varus, я, и in | ice owrulen; aylanan; burlanan; towlanan
поверхностный | superficialis,c; siihlimis. с | iistki; yiizi
поверхность, наружная поверхность | facies, ei f ; superficies, ei J | ust; da§ky yuzi
- плоская | planum, i 11 | yasy; tekiz list
- суставная | facies articularis | bogun yuzi
- тела | peripheria, ae f | bedenin iisti
повивальная бабка | obstetrix, icis f | gobek ene
поворот | versio, onis f ; inversio, onis f | owrum; owrulmek
- плода, комбинированный Брекстона-Гикса | Braxton-Hicksi versio | yatgydaky «.agany BrekstonGiksin usullary bilen owurmek
- -в матке | versio, onis f | yaganyn yatgyda owrulmegi
- самопроизвольный, или спонтанный | versio spontanea | oz-oziinden ya-da spontan owrulmek
повреждение | laesio, onis f; trauma, atis n | zayalanma; §ikes
поврежденный | laesus, a, urn | zayalanan; §ikes yeten
повторить | repetatur | gaytalamak
повязка | fascia, ae f | d any;sargy
- бинокулярная | binoculus, i in | binokulyar dany;iki gozi danmak
- бинтовая, на один глаз | monoculus, i in | monokulyar dany; bir gozi danmak
- на голове | mitra, ae f | kelle sargysy: danysy
- звездообразная | stella, ае / | yyldyz gorniisli dany
- колосовидная | spica, ае / | siimmiil gorniisli dany
- косыночная, или поддерживающая | mitella, ае / | yaglyk ya-da saklayjy dany
- пращевидная | funda, ае / | sapan gornii§li dany
- спиральная конечности | dolabra, ае / | elin ya-da ayagyn spiral danysy
поглощение | absorptio, onis f ; adsorptio, onis f ; resorptio, onis f | absorbsiya; sorma; sindirme
пограничный | limitans, ntis | arayak
- ствол | truncus sympathicus | simpatik; aracak siituni
погружение | submersio, onis f | yiinime; batma
под | sub | astynda; a§agynda
подавление | suppressio, onis f | supressiya; basma; yatyrma
подавленный | depressivus, a, um | depressiw; sustupes; sustubasyk
подагра | podagra, a e f | podagra
- большого пальца ноги типичная | podagra, a e f | ayagyn ba§am barmagynyn adaty podagrasy
- кистей рук | chiragra, ae / (cheiragra, ae f) | elin barmaklarynyn podagrasy
подалгия | podalgia, ae f | podalgiva
подбор | selectio, onis J | seleksiya; saylama; secip alma; seygi
подбородочный | mentalis, e | enek . . . alkvni . . .
подбрюшинный | siibpcritoncalis, e | subperitoneal; garnyn a^agyndaky; garnyn a§agyna degi§li
нодбугорье | hypothalamus, i in | gipotalamus
подвешивание тела | suspensio, onis f | bedeni asyp goymak
подвздошная кишка | ileum, i n | yanba^ iyegesi
- область | ilia, ae f | yanbafj tarapy; toweregi
подвздошный | iliacus, a, um | vanbas . . . yanba$a degisli
подвижной, подвижный | mobilis, e; iocomotorius. a, um | suy.*jvan; hereket edyan
подвижность | mobilitas, atis f; motilitas. atis | suy«>egenlik; hereketlilik
подвывих | subluxatio, onis f | siinkiin doly yykmagy
подглазничный | infraorbitalis. e | goz asagv; goziin asagyndaky
поддержка | sustentaculum, i n | goldaw; komek; yardam; hemayat
гюдднафрагмальный | subphrenicus, a um | diafragmanyn a^agy; asty
подзатыл очный | suboccipitalis. e | yensanin asagyndaky;yefisanin asty
подкидыш | infans expositus | taslanan yaga
подключичная вена | vena subelavia | yayjyk siinkunin asagyndaky wena
подключичный | infraclavicularis, e; subclavius, a, um | yayjyk stinkiinin asagyndaky.. . astyndaky . . .
подключичная область | regio infraclavicularis | yayjyk asagyndaky yer; yayjyk asty
подкожная клетчатка | subcutis, is f | deriasty oyjiiklik
подкожное впрыскивание, | injectio subcutanea sive | deri asagyna, astyna derman
подкожная иньекция | hypodermica | goyberme
подкожный | subcutaneus, a, um | deri asagyndaky.. .; deri astyndaky. . .
подколенный | popliteus, a, um | dyzyn i? yiiziindaki. . .
подкорковый | subcorticalis, e | gabygasty. . . ; gabyk astyndaky. . gabyk asagyndaky.. .
подл ихорадочны й | subfebrilis, e | subfebril; az-owlak gyzdyran
подложечная область | praecardia, a e f 179 | prekardiya; sepirjegin toweregi;
подложечный | epegastricus, а, ит | epigastral, sepirjek . . .
подлопаточный | subscapularis, е | pilye a§agy; kebze.. .
подмышечная область | regio axillaris | goltugasty towerek
- ямка, или впадина | axilla, a e f | goltuk
подмышечный | axillaris, e | goltuk.. goltugasty
подниматель (мышца) | arrector, oris in | goteriji; galdyryjy (my§sa)
поднимающийся | ascendes, ntis | goterilyan; yokarj galyan
подноггевой | subungualis, e | dyrnagyn a§agyndaky. . . dyrnak astyndaky...
подобный | homologus, a, um | menze§
подозрительный | dubiosus, a, um; susn^ctus, a , | §ubheli
подострый | subacutus, a, um | gaty yiti dal
подошва | planta, ae f | daban
подошвенный | plantaris, e | daban. . . dabanasty
подпаутинный | subarachnoidealis, e | subarahnoidal; beynin kerep gornu§li bardasynyn a§agyndaky. . .
подпорка | sustentaculum, i n | direg; soyeg
подреберная область | regio hypochondriaca | gapyrgasty towerek
подреберный | infracostalis, e | gapyrga a§agyndaky; gapyrga astyndaky. . .
подреберье | regio plantaris hypochondriaca | gapyrga a§agy; gapyrgasty
подсерозный | subserosus, a, um | subseroz
подслизистый | submucosus, a , um | submukoz; nemli bardasty
- или сумбукозный слой | tela subniucosa | submukoz gat; nemli bardanyn astyndaky gat
подставка | basis, is f | ayagyn a goylan enjam; direg; soyeg
подушка | pulvinar, aris n | yassyk; esas; diiyp
подчелюстной | subniandibularis, e submaxillaris, e | enegasty; enek astyndaky
подъязычный | hyoideus, a, um: hypoglossus, a um; sublingualis, e | dilasty: dilin a^agyndakv
позади | post | yzda; yzynda: arkasynda
позадисердечный | retrocardialis, e | retrokardial; yuregin yzyndaky
позвонок | vertebra, ae f | onurga
- грудной | vertebra thoracica | do§ onurgasy
- крестцовый | vertebra sacralis | turre; ayryt onurgasy
- поясничный | vertebra lumbaiis | bil onurga
-, смещение к переди | spondylolisthesis, is f | onurganyn one siiy§megi
- шейный | vertebra cervicalis | boyun onurga
- - второй | epistropheus, i n (BNA, INA)=axis, is in (PNA) | ikinji boyun onurga
- - первый | atlas, ntis m | birinji boyun onurga
позвоночник | columna vertebralis | onurgalyk
позвоночное отверстие | foramen vertebrale | onurga de§igi
позвоночный | spinalis, e; vertebralis, e; | onurga. . ., onurgaly
позология | posologia, ae f | pozologiya
позыв к рвоте | vomituritio, onis f | gusasyn gelmek
пойкилотермия экспериментальная | hibernatio artificialis | eksperimental poykilotermiya .
поцкилоцит | poikilocytus, i in | poskilosit
поцкилоцитоз | poikilocytosis, is f | poskilositoz
показание, показание для лечения | indicatio, onis f | be jerkin gerekligi, bejerip ii^in gorkezme
- жизненное | indicatio vitalis | zerur; derwayys; gayra goyulmasyz bejerip
- причинное | indicatio causalis | sebabine gora bejerme
показывание | manifestatio, onis f | manifestasiya; yiize yykarma
показывающий | indicans, ntis | gorkezyan; yiize yykarfan
покашливание | tussiculatio, onis f | yala iisgiirme
покраснение | rubar, oris m | gyzarma; gyzaran yer
покров | indumentum, i n; integumentum, i n; involucrum, i n; tegmen,inis n; tumica, ae f | ortiik
- тела | integumertum commune | bedenin deri; ham ortiigi
- черепа сухожильный | galea aponeurotica | kelleyanagyn sinir ortiigi
покровный | tectorius, a, um; tegmentalis, e | ortiik.. . ortiige degi§li
покрой | obduce | bicim; hiyuw
покрывало | tegmen, inis n | ortiik
покрывающий | tectorius, a, urn | ortyan; yapyan
пол | sexus, us m | jyns
полая вена верхняя | vena cava superior | yokarky gowany; bo§luk wenasy
- нижняя | vena ca va inferior | a§aky gowany; bo§luk wenasy
-трубка или игла | cannula, a e f | bo§ turbajyk ya-da inne
поле | area, ae f ; campus, i m planum. i n | meydan
- Крснига | Kroenigi area | Krenigin meydany
- зрения | campus visionis | goru§ meydany
полезный | utilis, e | peydaly; yaramly; hayyrly
ползучий | serpens, ntis | suy§yan; yayrayan
полиартрит | polyarthritis, tidis f | poliartrit
- инфекционный | arthritis infectiosa | yokany poliartrit
- неспецифнческнй | infectarthritis, tidis f | ayratyn; spesifik hasiyetli bolmadyk poliartrit
- ревматический острый | rheumatismus verus | yiti rewmatiki poliartrit
- хронический первичный | rheumatismus chroni cus | ilkinji hroniki, 6tii§en poliartrit
полиглобулия симптоматическая | erythrocytosis, is J | eritrositoz; simptomatiki poliglobuliya
полидактилия | polydactylia, ae / | polidaktiliya; kop barmaklylyk
полидипсия | polydipsia, a e f | polidipsiya; a§a te^nelik
пол и дистрофия Гурлерэллиса | gargoylismus, / m | Gurler-Ellisin polidistrofiyasy
поликлиника | policlinica, ae f | poliklinika; saglyk oyi
полумастия | polymastia, ae f | polumastiya; gipermastiya; uly gowuslilik
полный | absolutus, a, um; plenus , a, um; totalis, e | absolyut; doly; gutarnykly
половая iy6a большая | labium majus pudendi | uly dyllyk
- - малая | labium minus pudendi | ki^i dyllyk
- железа женская | ovarium, ii 11 | yumurtgalyk; ayalyn jyns mazi
- - мужская | testis, is m | yumurtgajyk; erkegin jyns mazi
- жизнь | vita sexualis | seksual durmu§
- зрелость | maturitas sexualis | jynsy kamillik; yeti§mek
- - преждевременная | maturitas sexualis praecox | wagtyndan on jynsy kamillige yeti§mek
- клетка мужская | spermatozoon, i n (spermatozoidum, i n) | spermatozoid; erkek jyns oyjiigi
- недоразвитость | infantilismus genitalis | jynsy kem^ilik; infantilizm
- слабость | impotentia, ae f | impotensiya; jynsy gow§aklyk
- способность | potentia, ae f | jynsy ukyplylyk
- холодность женщины | frigiditas, atis f | frigid; ayal jynsy sowuklylygy
- щель | rima pudendi | jyns y§y
половина | semis, issis m | yary; yarysy
половинный | demidius, a , um | yary
половое бессилие | impotentia, ae / ; impotentia coeundi | impotensiy'a; jynsy go>v§ak!yk
- влечение | libido sexualis | jynsy ymtyly§, isleg
- извращение | perversio sexualis | jynsy azgynlyk; zyna azgynlygy
- общение безразборчивое | promiscuitas, atis f | jynsy gatna§ygy seljermezlik
- равнодушие | frigiditas, atis f | frigid; jynsy biperwaysyzlyk
- сношение | coitus, us m | jynsy gatna§yk; yana§yk
- соединение, половое слияние 2-х клеток | copulatio, onis f | jynsy oyjflgin go§uly§magy
- созревание | pubertas, atis f | jynsy kamillige yetmek
- отсутствие | impubertas, atis f | jynsy kamilligin bolmazlygy
- -, раннее, или преждевременное | pubertas praecox | irki jynsy kamillik
половой | genitalis, e; sexualis, e | genital; seksual; jynsy
- акт | coitus, us m | jynsy akt
- - болезнный, или затрудненный | dvspareunia, a e f | agryly ya-da kynyylykly jynsy akt
- - у животных | copulatio, onis f | haywanlarda jynsy akt
- прерванный | coitus interruptus sive incompletus sive reservatus | arasy kesilen jynsy akt
- инфантилизм | infantilismus genitalis | infantilizm; jynsy kemcilik
- член (мужской) | penis, is m | wjyt
-----, ущемление | penis captivus | jyns organyn gysylmagv
половые органы | organa genitalia | jyns organlary
- - у женщины наруж | pudendum femininum. | wulwa; ayalyn da§ky jyns
ные | vulva, ae f | organlary
- - женские | organa genitalia feininina | ayallaryn jyns orgamary
- - мужские | organa genitalia masculina | erkeklerin jyns organlary
положение | positio,on/s / ; situs, us f | pozisiya; yagday; hal
положение больного в постели | decubitus, us in | nasag\ n dii^ekdaki yagdayav
- на спине, лежание на спине | decubitus dorsalis | nasagyn arkan yatniak yagdayy
- латеральное, или боковое | decubitus lateralis | nasagv n gapdal yatmak yagdayy
- коленно-локтевое | positio genucubitalis | nasagyn tirsek-dyz^anak yagdayy
- косое, положение наклонное | obliquitas. atis f | nasagyn gy§yk. yapgvt yatmagy
- плода в матке | positio, onis f | diiwun^egin ya*gydaky yagdayy, ycrle§i<ji
- порочное | aberratio, onis f | nasagyn diisekde nadogry yatmagy
- соседнее, или смежное | juxtapositio, onis f | menze§; yakyn yagday
Полоса | stria, ae / ; taenia, ae f | zolak
полосатый | striatus, a, uinO | zolakly
полоскание | gargarisma, atis n | ^aykamak
- процесс | gargarisma, atis n | ^aykamak prosesi
полостной | cavatus, a, um | bo^lukly; bo§lukdaky
полость | cavurn, i n; cavitas, atis / ; caverna, ae / ; sinus, us in; antrum, i n; camera, ae f | bo:?.uk: kawerna; sinus
- барабанная | cavum tympani | deprek bo§lugy
- брюшины | cavum peritonei | garnyn yylmanak bo§Iugy
- брюшная, полость живота | cavum abdominis 182 | garyn bo<jlugv
- матки | cavuin uteri | yatgy bo?lugy
- грудная | cavum thoracis | do§ bo§lugy; do§ kapasasynyn bo§lugy
- небольшая | loculus, i m; vestibulum, i n | ki^i bo'jluk
- носовая | cavum nasi | burun bo§lugy
- носоглоточная | cavum pharyngonasale | burun-damak bo§lugy
- плевральная | cavum pleurae | plewra bo§lugy
- рта | cavum oris | agyz bo§lugy
- суставная | cavum articulare | bogun bo§Iugy
- тазовая | cavum pelvis | yanaklyk bo§lugy
• ушной раковины | concha auriculae | gulak yelken bo§lugy
полосы атрофические | striae cutis (distensae) sive striae atrophicae | atrofiki zolaklar
- у беременных на коже живота | striae gravidarum | gowreli ayallaryn garnynyn deri ortiigindaki zolaklar
полуканал | semicanalis, is m | yarym kanal
полулетаргия | hibernatio artiticialis | yarym letargiya
полулунный * | semilunaris, e; luna-ris, e; lumatus, a, um | yarymay gornii§li
полупаралич | paresis, is f | parez; yarym ysmaz, parali^
полунсренончатый | semimembranosus, a, um | yarvm perde §ekilli
пол) проходимый, полупроницаемый | semipermeabilis, e | yarvm ge^iriji
полусов | semisomnus, i m | yarym ukuly-oyaly
полусухожильный | semi tend inosus, a, um | yarym sinir. . .
полушарие | hemisphcrium, ii n | yary; yarym §ar
- головного мозга | hemispherium cerebri | kelle beynisinin yary; yarym §ary
- мозжечка | heniispheriuni cerebelli | beynijigin yary
полый | cavus, a, um | ip bo!>; kowek; gowan^
помешанный | insanus, a, um | dali; akylyndan aza§an
помешательство | alenatio mentis | akyldan azasmak
помощь первая | auxilium primum | ilkinji komek
помрачение рассудка | obnubilatio mentalis | payhasyn; akylyn peselmegi
помутнение | opacitas, atis f | bulanmak
- хрусталика | catui acta, ae f | katarakta; goz hrystaliginin, merjenjiginin iimuzlemegi
понос | diarrhoea, ae f | diareya; iygeyme
- кровавый | dysenteria, ae f | ganly iygepne
- эпидемический | diarrhoea epidemica | epidemiki diareya; epidemiki ip geyme
поощрение | stimulatio, onis f | stimulyasiya
поощряющий | stimulans, ntis | stimuli rleyan
попеременный | alternans, ntis | utga§dyrylan; gezekli-gezegine
поперечный | transversus, a, um (transversalis, e) | kese
Попова нодулярный ту­ | Besnier-Boeck-Schaumann’ | Popowyn diiwunli in^ekesel reti-
беркулезный ретикулит | mordus | kuliti
Попова признак | Popovi signum | Popowyn alamaty
по, поровну | aa (ana) | den ika bolunyan; bolmek; iki den bolek
попугайная болезнь | psittacosis, is f | ■,totygu§" keseli
попытка самоубийства | tentamen suicidii | oz-oziini oldurmage synany§yk
пора | osculum, i n; porus, i m; stoma, atis f | de§ik
- потовая | porus sudoriferus | der mazlerinin de§ikleri
поражение | laesio, onis f | zayalamak; zayalanmak
порез | vulnus incisum | kesik; kesilmek
пориомония | poriomania, ae f | poriomaniya
пористость кости | osteoporosis, is f | osteoporoz; sunkun de§ikleri
пористый | spongiosus, a, um | spongioz; de§ik-de§ik
порог | limen, inis n | vak; bosaga
порок | vitium, i n | kem^ilik; yetmezcilik
- митральный | vitium mitrale | mitral yetmezcilik; kemcilik
- развития | malformatio, onis f | osiisin kemciligi
- сердца | vitium cordis | yuregin kemciligi
- - врожденный | vitium cordis congenitum | yuregin dogabitdi kemciligi
порошок | pulvis, eris m | poro§ok
- шипучий | pulvis effervescens | hyzlayan poro§ok
порриго | porrigo, inis f | menek
портальный | portalis, e | portal; bagyr bilen baglan§ykly
порфиринурия | porphirinuria, ae f | porfirinuriya
поседение волос | canities, ei f ; leucotrichia, ae f | saclaryn agarmagy;; calarmagy
послабляющая лихорадка | febris remittens | ysgyndan du§iiryan gyzdyrma
после | post | son
- еды | post cibos | iymitlenmeden; nahardan son
- родов | post partuni | Caga dogurmadan son
- смерти | post marteni | olenden, iilumden son
послед | placenta, ae f ; terminalis, e | plasenta: caga yolda§v; yeri
последний | ultinius, a, um ; extremus, a, | sonky
последующий | succedaneus, a, um | sonky; indiki
послеродовые выделения | lochia, ae f | lohiya; caga doglandan son arassalanmak
посмертный | postmortalis, e | olenden sonky; oliimden sonky
посредник | mediator, oris m | mediator
постарение | senescentia, ac f | garrama
постит | posthitis, tidis f | postit
постнатал ьны й | postnatalis, e | postnatal
постоперативный | postoperativus, a, um | operasiyadan son; sonky
посторонний | alienus, a, um; indirectus, a, | keseki; vat
постоянный | constans, ntis; fixus, a, um; permanens, ntis; perpetuus, a, .um; persistens, ntis; stationarius, a, um | hemi$e; hemi.-jeki
посттравматический | posttraumaticus, a,um | §ikes yetenden son; sonky
постфебрильный | postfebrilis, e | gyzgyndan sonky
пот | sudor, oris m | der
- зловонный | bromidrosis, is f (bromhidrosis, is f) | yakymsyz ysly der
- кровавый | haematidrosis, is f | gematidroz; ganly der
- ночной | sudor nocturnus | gijcki der
потение | sudatio, onis f | derlemek
- обильное | diaphoresis, is f | gaty; sum ' yaly derlemek
- сильное, всего тела | panhidrosis, is f | butin bedenin, goMran gtiy^li derlemegi
- усиленнное, чрезмерное | hyperhidrosis, is f | guycli,cakdan a§a; adatdan da§ary derlemek
потентность | potentia, ae f | potensiya; mumkincilik
- слабая | debilitas sexualis | seksual; jyns gow§aklygy
потенция | potentia, ae f | potensiya
потливость чрезмерная | hyperhidrosis, is f | cakdan a§a derlemek
потница | miliaria, ae f | tenmek; a§a derlemeden doreyan orgun; tengin
потогонные средства | diaphoretica (remedia) n/pe | derledyan seri§deler
потоотделение | diaphoresis, is f | derlemek; derin bolunip ^ykarylmagy
- ненормальное | dyshidrosis, is f | adaty bolmadyk; kadadan da§gary derleme
отсутствие | anhidrosis, is f | derin bolmazlygy; derlemezlik
расстройство | dyshidrosis, is f | derlemegin bozulmagy
Потта болезнь | malum Potti | Pott keseli
походка | ingressus, us m | yoreyi§
- гемиплегическая | ingressus hemiplegicus | gemiplegiki yoreyi§
- спастическая | ingressus spasticus | spastiki yoreyi§; sandyrap yorenie
похотливость | salacitas, atis f | patologiki isleg
похотливый | libidinosus, a, um | islegli
похотник | clitoris, idis f | klitor; kindik
почесуха | prurigo, inis j | gijilewiik
- Гебры | prurigo simplex | Gebranyfi gijilewiigi
- детская | strophulus, i in | ?aga gijilewiigi
почечная гликозурия | diabetes renalis | bowrek glikozuriyasy; diabeti
- лоханка | pelvis renalis | yargak; vanajyk; bowrek yargagy
почечное камнесечение | nephrolithotomia, ae f | nefrolitotomiya; bowrekden da§y ayyrmak
